Vehicle_ID,Total_Frames,First_Frame,Last_Frame,Max_Speed_mph,Min_Speed_mph,Avg_Speed_mph,Total_Distance_m,Duration_seconds
2,47,1,47,37.0,9.0,33.266666666666666,31.099278268976487,1.5333333333333334
10,19,1,19,23.0,4.0,18.0,7.575914124384771,0.6
13,3,1,3,8.0,8.0,8.0,0.3094418611783231,0.06666666666666667
14,44,1,44,26.0,6.0,23.11904761904762,19.06545706019956,1.4333333333333333
15,23,1,25,36.0,9.0,27.523809523809526,13.02040132488161,0.8
28,4,3,6,35.0,23.0,30.0,1.9362342735210962,0.1
41,93,6,98,27.0,18.0,24.76086956521739,43.41850028684097,3.066666666666667
150,2,38,39,28.0,28.0,28.0,0.5363793086412735,0.03333333333333333
21,124,43,166,14.0,8.0,10.544715447154472,24.266339749432834,4.1
53,107,66,175,26.0,12.0,20.70754716981132,45.01286652226829,3.6333333333333333
70,20,97,117,25.0,15.0,17.526315789473685,6.2185105848280955,0.6666666666666666
26,3,116,120,60.0,57.0,58.5,2.2456844133520146,0.13333333333333333
296,1,123,123,0,0,0,0.0,0.0
306,80,130,219,33.0,21.0,25.430379746835442,41.94770058898112,2.966666666666667
16,221,139,360,16.0,1.0,7.575342465753424,19.658041666521196,7.366666666666666
325,96,148,243,35.0,23.0,25.442105263157895,46.141149527898705,3.1666666666666665
331,100,151,250,27.0,19.0,23.515151515151516,45.92660896746584,3.3
343,2,152,154,29.0,29.0,29.0,0.5436750211102115,0.06666666666666667
350,35,156,193,17.0,7.0,13.558823529411764,8.048342893830451,1.2333333333333334
378,3,168,170,18.0,16.0,17.0,0.6254749814375358,0.06666666666666667
382,71,177,248,30.0,22.0,26.985714285714284,37.89048780935814,2.3666666666666667
403,78,186,265,30.0,20.0,27.571428571428573,44.07010741199834,2.6333333333333333
417,4,186,189,4.0,4.0,4.0,0.3273517161589331,0.1
419,38,190,283,32.0,22.0,25.37837837837838,44.09170618702451,3.1
450,42,194,235,6.0,2.0,4.073170731707317,2.9200650950236287,1.3666666666666667
447,88,201,288,28.0,23.0,26.42528735632184,44.75634880737519,2.9
110,141,214,360,19.0,2.0,9.064285714285715,25.22377031252651,4.866666666666666
523,97,233,329,26.0,22.0,24.270833333333332,45.55526221549962,3.2
227,120,235,359,12.0,1.0,6.142857142857143,15.923023344932723,4.133333333333334
567,98,254,351,4.0,1.0,1.3870967741935485,1.2840816715225545,3.2333333333333334
111,87,271,360,17.0,1.0,4.320987654320987,6.545591881098001,2.966666666666667
617,3,275,278,45.0,37.0,41.0,1.6872143072807764,0.1
503,16,306,327,127.0,22.0,37.46666666666667,10.538684430910854,0.7
673,51,306,360,25.0,20.0,23.24,26.120488455893874,1.8
697,9,312,327,12.0,3.0,7.5,2.208869118044219,0.5
729,12,324,339,43.0,25.0,33.45454545454545,7.595060994449911,0.5
730,6,325,330,2.0,1.0,1.3333333333333333,0.1055831627614588,0.16666666666666666
739,22,331,356,30.0,21.0,26.333333333333332,13.760343524827366,0.8333333333333334
765,27,334,360,24.0,20.0,22.192307692307693,12.428363644810105,0.8666666666666667
815,14,346,360,27.0,20.0,25.923076923076923,7.80403155429271,0.4666666666666667
818,11,347,360,15.0,3.0,6.5,1.1581333303871193,0.43333333333333335
847,1,353,353,0,0,0,0.0,0.0
840,7,354,360,25.0,22.0,23.333333333333332,2.9526060098017544,0.2
856,1,356,356,0,0,0,0.0,0.0
866,1,360,360,0,0,0,0.0,0.0
