Vehicle_ID,Total_Frames,First_Frame,Last_Frame,Max_Speed_mph,Min_Speed_mph,Avg_Speed_mph,Total_Distance_mile,Duration_seconds
3,60,1,60,48.0,23.0,43.20338983050848,0.023401092656545684,1.9666666666666666
4,29,1,29,61.0,29.0,52.07142857142857,0.012901192345610005,0.9333333333333333
8,53,1,53,62.0,24.0,55.73076923076923,0.026951777833784593,1.7333333333333334
33,8,1,8,53.0,25.0,45.42857142857143,0.0031851628216366563,0.23333333333333334
37,13,1,13,54.0,24.0,46.916666666666664,0.005468361586519182,0.4
14,82,7,88,68.0,54.0,57.02469135802469,0.04331954454837074,2.7
10,99,20,119,51.0,39.0,47.775510204081634,0.0444217813152999,3.3
50,113,29,141,46.0,42.0,44.6875,0.046814758257029104,3.7333333333333334
67,116,73,188,46.0,41.0,43.92173913043478,0.04760533239952596,3.8333333333333335
13,104,77,180,50.0,43.0,47.407766990291265,0.046086839273252314,3.433333333333333
70,96,80,175,55.0,50.0,52.38947368421053,0.04657668837708134,3.1666666666666665
80,5,94,98,53.0,49.0,51.25,0.001955999944265881,0.13333333333333333
82,15,102,117,78.0,48.0,53.214285714285715,0.007195567227489522,0.5
86,116,117,232,45.0,38.0,44.00869565217391,0.04729987271685215,3.8333333333333335
30,93,122,214,90.0,47.0,53.83695652173913,0.04590334776605682,3.066666666666667
21,99,125,223,50.0,42.0,47.47959183673469,0.044375710018031055,3.2666666666666666
28,99,166,266,79.0,45.0,48.755102040816325,0.04542246941498912,3.3333333333333335
116,2,183,184,46.0,46.0,46.0,0.0004331617193058732,0.03333333333333333
120,2,190,192,77.0,77.0,77.0,0.0014327349713999685,0.06666666666666667
113,126,192,317,41.0,38.0,39.736,0.04632309038978135,4.166666666666667
31,99,221,320,51.0,40.0,47.714285714285715,0.045231261267042196,3.3
138,2,222,223,46.0,46.0,46.0,0.00042746441895526725,0.03333333333333333
139,105,233,337,49.0,45.0,47.54807692307692,0.04624817761499714,3.466666666666667
35,97,259,355,53.0,47.0,50.625,0.04566058500026939,3.2
164,124,288,411,43.0,39.0,41.520325203252035,0.047498645561597115,4.1
173,108,305,412,49.0,45.0,47.85981308411215,0.047452926928123404,3.566666666666667
92,101,314,414,53.0,40.0,48.74,0.0461196125408955,3.3333333333333335
73,105,329,433,51.0,42.0,47.04807692307692,0.04609979183291064,3.466666666666667
186,79,334,452,69.0,40.0,42.96153846153846,0.04656523156296148,3.933333333333333
96,100,341,440,52.0,37.0,49.82828282828283,0.046300520079658375,3.3
91,98,371,468,52.0,40.0,49.422680412371136,0.04531581658523472,3.2333333333333334
124,92,393,484,59.0,47.0,53.79120879120879,0.045719970263009814,3.033333333333333
109,97,410,506,58.0,43.0,49.59375,0.04505294574448231,3.2
151,85,478,562,67.0,47.0,55.857142857142854,0.044304146077266106,2.8
177,91,502,592,57.0,44.0,53.6,0.04601977003576897,3.0
160,94,504,597,55.0,46.0,51.38709677419355,0.04548277298952668,3.1
246,113,504,616,47.0,43.0,45.669642857142854,0.04714920244836343,3.7333333333333334
158,103,525,627,49.0,44.0,46.68627450980392,0.04519916021119065,3.4
290,108,577,684,49.0,45.0,47.299065420560744,0.04703102481562496,3.566666666666667
162,100,607,708,49.0,36.0,47.515151515151516,0.044797231963552585,3.3666666666666667
315,109,617,725,47.0,43.0,45.824074074074076,0.046188318683074533,3.6
366,2,692,695,46.0,46.0,46.0,0.0004262878414656183,0.1
241,89,735,824,55.0,43.0,52.85227272727273,0.044264090002825544,2.966666666666667
398,98,767,864,53.0,49.0,51.628865979381445,0.04650430147890191,3.2333333333333334
399,116,769,884,45.0,41.0,43.582608695652176,0.04685851626877229,3.8333333333333335
254,95,778,873,53.0,44.0,50.97872340425532,0.04518101639256819,3.1666666666666665
412,113,810,923,46.0,41.0,44.857142857142854,0.046537628766504004,3.7666666666666666
435,98,861,958,52.0,48.0,50.670103092783506,0.045916230390931956,3.2333333333333334
467,20,899,1004,47.0,44.0,45.8421052631579,0.0462567348122586,3.5
326,117,957,1073,44.0,33.0,41.206896551724135,0.04526984595046422,3.8666666666666667
482,104,958,1061,50.0,45.0,48.23300970873787,0.04634343274201034,3.433333333333333
354,99,973,1071,51.0,43.0,47.83673469387755,0.044648191881333434,3.2666666666666666
344,118,993,1110,48.0,39.0,41.53846153846154,0.045935816633695115,3.9
