Vehicle_ID,Total_Frames,First_Frame,Last_Frame,Max_Speed_kmh,Min_Speed_kmh,Avg_Speed_kmh,Total_Distance_m,Duration_seconds
5,20,1,20,69.0,40.0,59.36842105263158,9.85666208742355,0.6333333333333333
10,47,1,49,63.0,26.0,55.93478260869565,25.147771759338067,1.6
16,50,1,50,51.0,23.0,44.285714285714285,20.668392908534557,1.6333333333333333
42,9,1,10,55.0,25.0,47.375,3.723755969745844,0.3
43,2,1,2,41.0,41.0,41.0,0.3881810493643605,0.03333333333333333
11,82,11,93,61.0,42.0,57.098765432098766,44.655415475835234,2.7333333333333334
7,95,24,119,52.0,16.0,47.51063829787234,43.79523198653093,3.1666666666666665
112,102,29,130,51.0,41.0,48.13861386138614,45.71989320665604,3.3666666666666667
204,104,74,177,50.0,45.0,47.650485436893206,45.83495968823553,3.433333333333333
237,2,77,78,47.0,47.0,47.0,0.4398650431050273,0.03333333333333333
18,95,80,174,50.0,34.0,46.46808510638298,41.948479709487486,3.1333333333333333
251,85,83,167,60.0,49.0,56.964285714285715,44.0881353343253,2.8
262,8,89,96,101.0,52.0,65.57142857142857,3.957253448066868,0.23333333333333334
326,104,117,220,49.0,44.0,47.76699029126213,45.997581269762826,3.433333333333333
32,90,125,214,57.0,43.0,52.831460674157306,44.59237120761745,2.966666666666667
25,93,129,223,51.0,44.0,48.09782608695652,42.56864740070961,3.1333333333333333
401,3,151,153,95.0,52.0,73.5,0.9689271218744162,0.06666666666666667
411,7,152,158,51.0,8.0,36.666666666666664,2.3852880310293587,0.2
421,4,159,162,59.0,46.0,50.333333333333336,1.3600355390125185,0.1
425,1,162,162,0,0,0,0.0,0.0
29,96,169,265,51.0,39.0,47.94736842105263,43.66668007571476,3.2
439,7,169,175,52.0,46.0,48.166666666666664,2.7860709395021876,0.2
467,2,179,180,51.0,51.0,51.0,0.4800820198060903,0.03333333333333333
488,4,185,188,56.0,52.0,54.0,1.5470785303736925,0.1
520,2,194,195,43.0,43.0,43.0,0.40612205600321394,0.03333333333333333
521,38,194,304,617.0,37.0,106.54054054054055,44.05642125588468,3.6666666666666665
548,1,206,206,0,0,0,0.0,0.0
561,7,212,218,48.0,41.0,46.166666666666664,2.7366304834623962,0.2
598,2,223,224,48.0,48.0,48.0,0.44490871091291306,0.03333333333333333
395,95,225,320,52.0,35.0,48.329787234042556,43.99536341442762,3.1666666666666665
636,95,234,328,52.0,45.0,50.851063829787236,44.96039551904531,3.1333333333333333
633,8,234,241,100.0,52.0,64.28571428571429,3.865152340349476,0.23333333333333334
31,93,263,355,54.0,42.0,50.67391304347826,44.6091485284916,3.066666666666667
707,3,270,272,53.0,52.0,52.5,0.9828934045076313,0.06666666666666667
713,4,276,279,47.0,45.0,46.0,1.3474990424819495,0.1
731,111,289,399,46.0,41.0,44.78181818181818,45.97013178342892,3.6666666666666665
741,7,293,299,55.0,46.0,52.5,2.9719751872026516,0.2
759,95,306,400,53.0,49.0,51.829787234042556,45.357074925485186,3.1333333333333333
278,96,319,414,52.0,42.0,49.03157894736842,44.7333029320483,3.1666666666666665
371,101,333,433,49.0,39.0,46.68,44.680263818346376,3.3333333333333335
798,27,334,439,46.0,38.0,44.80769230769231,44.988664701664284,3.5
571,94,345,438,53.0,48.0,50.913978494623656,44.38135907982196,3.1
303,94,374,468,54.0,45.0,49.634408602150536,44.459582006317895,3.1333333333333333
533,87,397,484,60.0,36.0,53.53488372093023,44.46539941829787,2.9
376,93,414,506,54.0,43.0,49.67391304347826,43.79106608924723,3.066666666666667
1010,5,437,441,59.0,42.0,52.5,2.042047306272181,0.13333333333333333
1049,1,457,457,0,0,0,0.0,0.0
1074,4,465,468,51.0,44.0,47.666666666666664,1.4278267028918243,0.1
654,83,481,563,60.0,24.0,54.853658536585364,43.799307705946774,2.7333333333333334
1145,102,504,605,51.0,45.0,49.0,45.96467174584202,3.3666666666666667
861,87,506,592,59.0,34.0,54.26744186046512,44.81562795214268,2.8666666666666667
723,91,507,597,55.0,41.0,51.044444444444444,44.284155599908274,3.0
1033,99,529,627,50.0,43.0,47.19387755102041,44.080086633391225,3.2666666666666666
1294,97,578,674,52.0,48.0,51.197916666666664,45.352995293769006,3.2
817,93,611,704,51.0,41.0,47.141304347826086,41.254709087065734,3.1
1359,43,618,714,650.0,45.0,72.0952380952381,44.36164149188639,3.2
1408,11,645,655,63.0,50.0,52.8,4.922957319445275,0.3333333333333333
1440,3,667,669,52.0,42.0,47.0,0.9719217011939698,0.06666666666666667
1448,7,673,679,50.0,46.0,48.666666666666664,2.7813850642957014,0.2
1128,77,740,818,60.0,50.0,53.276315789473685,39.48965944756349,2.6
1646,1,763,763,0,0,0,0.0,0.0
1651,88,768,855,57.0,52.0,55.60919540229885,44.89919557475503,2.9
1666,103,769,871,49.0,43.0,47.64705882352941,45.00848827515555,3.4
1253,87,781,868,54.0,46.0,51.674418604651166,42.27723195368137,2.9
1731,8,788,795,59.0,44.0,55.0,3.6740007572857643,0.23333333333333334
1760,3,801,803,109.0,84.0,96.5,1.5612600572441657,0.06666666666666667
1777,52,810,910,49.0,46.0,48.09803921568628,45.04582988855455,3.3333333333333335
1860,6,830,835,57.0,52.0,54.6,2.5810885062896443,0.16666666666666666
1901,2,848,849,105.0,105.0,105.0,0.9775592145493016,0.03333333333333333
1930,89,861,949,57.0,52.0,55.34090909090909,44.64975687712738,2.933333333333333
2271,18,958,975,51.0,48.0,50.529411764705884,8.11863808309926,0.5666666666666667
1343,14,962,975,45.0,35.0,39.23076923076923,4.613898422786605,0.43333333333333335
