Vehicle_ID,Total_Frames,First_Frame,Last_Frame,Max_Speed_mph,Min_Speed_mph,Avg_Speed_mph,Total_Distance_m,Duration_seconds
5,20,1,20,43.0,25.0,36.68421052631579,9.85666208742355,0.6333333333333333
10,47,1,49,39.0,16.0,34.5,25.147771759338067,1.6
16,50,1,50,32.0,14.0,27.428571428571427,20.668392908534557,1.6333333333333333
42,9,1,10,34.0,16.0,29.25,3.723755969745844,0.3
43,2,1,2,26.0,26.0,26.0,0.3881810493643605,0.03333333333333333
11,82,11,93,38.0,26.0,35.333333333333336,44.655415475835234,2.7333333333333334
7,95,24,119,32.0,10.0,29.382978723404257,43.79523198653093,3.1666666666666665
112,102,29,130,31.0,25.0,29.623762376237625,45.71989320665604,3.3666666666666667
204,74,74,147,31.0,28.0,29.71232876712329,33.021023165690124,2.433333333333333
237,2,77,78,29.0,29.0,29.0,0.4398650431050273,0.03333333333333333
18,68,80,147,31.0,21.0,27.73134328358209,29.300985084217633,2.2333333333333334
251,65,83,147,37.0,30.0,35.546875,34.149585223580836,2.1333333333333333
262,8,89,96,63.0,32.0,40.57142857142857,3.957253448066868,0.23333333333333334
326,31,117,147,30.0,29.0,29.7,13.873827106795034,1.0
32,23,125,147,35.0,26.0,31.227272727272727,10.35012564836359,0.7333333333333333
25,19,129,147,29.0,27.0,27.944444444444443,7.674082239904166,0.6
